,Balls_played,Batting_Hand,Bowling_Skill,Country,DOB,Econ_Rate,Over_count,Player_Id,Player_Name,Runs,Strike_Rate,cluster
229,,,Slow left-arm orthodox,India,24-Mar-91,7.36,32.333333333333336,413,KH Pandya,238.0,,0
230,,,Slow left-arm chinaman,India,07-Sep-95,8.24,23.666666666666668,432,S Kaushik,195.0,,0
231,,,Right-arm medium,India,07-Aug-92,7.64,5.5,465,DL Chahar,42.0,,0
232,,,Right-arm fast-medium,Australia,11-Apr-89,7.81,7.166666666666667,464,SM Boland,56.0,,0
233,,,Legbreak googly,Australia,31-Mar-92,6.82,17.166666666666668,430,A Zampa,117.0,,0
234,,,Right-arm offbreak,India,18-Dec-88,4.8,1.6666666666666667,369,Sachin Baby,8.0,,0
235,,,Right-arm offbreak,New Zealand,08-Aug-90,7.0,1.0,396,KS Williamson,7.0,,0
236,,,Right-arm medium-fast,South Africa,18-May-85,8.49,48.166666666666664,401,D Wiese,409.0,,0
237,,,Right-arm offbreak,India,29-Jun-90,7.1,13.666666666666666,329,Gurkeerat Singh,97.0,,0
238,,,Right-arm offbreak,India,22-Jan-90,6.33,24.333333333333332,425,J Yadav,154.0,,0
239,,,Right-arm fast-medium,West Indies,18-Jul-88,8.06,23.833333333333332,408,CR Brathwaite,192.0,,0
240,,,Left-arm medium,India,10-Dec-92,8.24,55.333333333333336,429,BB Sran,456.0,,0
241,,,Right-arm offbreak,India,13-Feb-89,8.19,33.333333333333336,366,Parvez Rasool,273.0,,0
242,,,Right-arm medium-fast,West Indies,05-Nov-91,8.24,38.0,391,JO Holder,313.0,,0
243,,,Right-arm offbreak,Sri Lanka,09-Feb-85,6.4,32.5,352,SMSM Senanayake,208.0,,0
244,,,Right-arm fast,Australia,11-Oct-87,7.46,68.0,371,NM Coulter-Nile,507.0,,0
245,,,Right-arm fast-medium,Australia,30-Jan-87,7.24,15.333333333333334,385,BCJ Cutting,111.0,,0
246,,,Legbreak googly,India,27-Mar-79,8.46,74.66666666666667,386,Imran Tahir,632.0,,0
247,,,Right-arm offbreak,India,05-Dec-83,6.21,39.0,335,A Chandila,242.0,,0
248,,,Slow left-arm orthodox,India,06-Jan-93,8.17,73.16666666666667,322,P Negi,598.0,,0
249,,,Slow left-arm orthodox,Australia,02-Apr-81,6.09,11.0,328,MJ Clarke,67.0,,0
250,,,Right-arm fast-medium,Australia,15-Mar-83,7.34,65.0,451,BW Hilfenhaus,477.0,,0
251,,,Right-arm medium,India,27-Oct-88,5.14,1.1666666666666667,448,SS Mundhe,6.0,,0
252,,,Legbreak,Sri Lanka,15-Jan-83,7.2,5.0,348,BMAJ Mendis,36.0,,0
253,,,Right-arm offbreak,India,13-Oct-93,6.16,6.166666666666667,340,GH Vihari,38.0,,0
254,,,Right-arm medium,India,04-Dec-93,8.35,16.166666666666668,344,AS Rajpoot,135.0,,0
255,,,Right-arm fast-medium,West Indies,15-Oct-84,6.8,46.333333333333336,349,R Rampaul,315.0,,0
256,,,Right-arm offbreak,India,01-Apr-84,7.95,6.166666666666667,185,M Vijay,49.0,,0
257,,,Right-arm offbreak,India,14-Sep-90,8.0,1.0,308,SA Yadav,8.0,,0
258,,,Legbreak,India,20-May-93,7.4,12.166666666666666,390,R Tewatia,90.0,,0
259,,,Right-arm fast-medium,Australia,12-Feb-91,8.28,54.333333333333336,363,KW Richardson,450.0,,0
260,,,Slow left-arm orthodox,India,20-Apr-91,6.98,60.5,314,Ankit Sharma,422.0,,0
261,,,Right-arm fast-medium,New Zealand,28-Sep-90,7.44,4.166666666666667,312,DAJ Bracewell,31.0,,0
262,,,Right-arm medium,India,03-May-92,8.22,35.166666666666664,326,V Pratap Singh,289.0,,0
263,,,Right-arm medium,India,17-Apr-87,7.26,27.0,446,Anand Rajan,196.0,,0
264,,,Right-arm medium,India,25-Aug-84,7.0,1.0,300,Y Gnaneswara Rao,7.0,,0
265,,,Slow left-arm orthodox,India,28-Oct-85,7.6,42.5,297,AA Chavan,323.0,,0
266,,,Right-arm medium-fast,India,18-Sep-84,6.75,2.6666666666666665,301,S Rana,18.0,,0
267,,,Slow left-arm orthodox,India,13-May-90,7.92,50.5,302,BA Bhatt,400.0,,0
268,,,Right-arm offbreak,West Indies,05-Feb-81,7.28,33.5,307,MN Samuels,244.0,,0
269,,,Right-arm fast-medium,Sri Lanka,22-Jul-82,6.5,17.833333333333332,324,KMDN Kulasekara,116.0,,0
270,,,Left-arm medium,India,30-May-85,8.38,26.5,294,P Parameswaran,222.0,,0
271,,,Right-arm medium,India,07-Dec-83,8.12,25.5,167,PC Valthaty,207.0,,0
272,,,Right-arm offbreak,India,05-Dec-85,8.08,8.166666666666666,42,S Dhawan,66.0,,0
273,,,Right-arm offbreak,New Zealand,01-Sep-80,7.0,5.0,281,NL McCullum,35.0,,0
274,,,Right-arm fast,New Zealand,22-Jun-84,8.21,20.333333333333332,282,JE Taylor,167.0,,0
275,,,Right-arm fast-medium,Australia,11-Nov-82,6.67,3.0,265,NJ Rimmington,20.0,,0
